id,type,name,tier,valence,intensity,compound_family,tags,notes,art_palette,art_textures,art_typography,art_motion
ENT_ELVES,entity,"Machine Elves",common,mixed,high,psychedelic,"builder;hyperactive;language-like;procedural;dmt-adjacent","Small/fast entities that 'construct' or manipulate reality.",,,,
ENT_MANTIS,entity,"Mantis / Insectoid Clinicians",common,mixed,high,psychedelic,"surgery;clinical;technician;body-work;detached","Insectoid beings performing 'adjustments' or examinations.",,,,
ENT_JESTER,entity,"Jester / Trickster",common,mixed,medium,unknown,"gatekeeper;mockery;paradox;humor;ego-check","Comedic/taunting presence that destabilizes certainty.",,,,
ENT_HATMAN,entity,"Hat Man / Shadow Watcher",common,ominous,high,deliriant,"shadow-people;peripheral;watcher;sleep-paralysis-adjacent","Dark silhouette watcher; overlaps sleep-paralysis folklore.",,,,
ENT_GAIA,entity,"Mother Gaia",rare,benign,extreme,psychedelic,"mother;unconditional-love;nurture;overwhelming-benevolence","Singular-feeling nurturing presence; total compassion.",,,,
LOC_WAITING_ROOM,location,"The Waiting Room / Antechamber",common,neutral,medium,psychedelic,"threshold;chrysanthemum;pre-breakthrough;liminal","Transitional staging space before breakthrough.",,,,
LOC_PALACE_UI,location,"Palace / Cathedral UI",common,mixed,high,psychedelic,"cathedral;vast-architecture;jewel-light;sacred-geometry","Vast ornate non-euclidean architecture; awe-heavy.",,,,
LOC_VOID,location,"The Void / White Light",common,mixed,extreme,unknown,"whiteout;nothingness;total-field;ego-dissolution","Objectless state: pure being / blank infinity.",,,,
LOC_NURSERY,location,"The Nursery",uncommon,mixed,high,psychedelic,"toys;impossible-objects;playful;dmt-adjacent","Playful room with impossible objects; shown to the traveler.",,,,
GEO_FRACTAL_UI,geometry,"Fractal UI / Infinite Recursion",common,neutral,high,psychedelic,"mandelbrot;recursion;infinite-zoom;self-similar","Recurring visual substrate; 'code-like' recursive structure.",,,,
GEO_HONEYCOMB,geometry,"Honeycomb / Hex Grid Overlay",common,neutral,medium,psychedelic,"hexagons;lattice;tiling;grid","Hexagonal tiling overlay perceived as structural layer.",,,,
GEO_TUNNEL,geometry,"Tunnel Vortex",common,mixed,extreme,psychedelic,"vortex;transit;acceleration;breakthrough","High-speed transition geometry; travel effect.",,,,
